,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021800781,1610612748,Heat,MIA,Miami,240:00,0.486,0.366,0.249,0.222,0.466,0.191,0.145,0.352
1,0021800781,1610612754,Pacers,IND,Indiana,240:00,0.466,0.191,0.145,0.259,0.486,0.366,0.249,0.267
0,0021800779,1610612759,Spurs,SAS,San Antonio,240:00,0.527,0.196,0.109,0.204,0.5,0.125,0.085,0.189
1,0021800779,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.125,0.085,0.094,0.527,0.196,0.109,0.204
0,0021800782,1610612747,Lakers,LAL,Los Angeles,240:00,0.474,0.177,0.142,0.22,0.533,0.209,0.098,0.229
1,0021800782,1610612744,Warriors,GSW,Golden State,240:00,0.533,0.209,0.098,0.146,0.474,0.177,0.142,0.322
0,0021800783,1610612750,Timberwolves,MIN,Minnesota,240:00,0.534,0.18,0.102,0.163,0.545,0.157,0.111,0.327
1,0021800783,1610612743,Nuggets,DEN,Denver,240:00,0.545,0.157,0.111,0.306,0.534,0.18,0.102,0.327
0,0021800784,1610612756,Suns,PHX,Phoenix,240:00,0.531,0.188,0.096,0.182,0.595,0.31,0.232,0.438
1,0021800784,1610612737,Hawks,ATL,Atlanta,240:00,0.595,0.31,0.232,0.333,0.531,0.188,0.096,0.273
0,0021800786,1610612762,Jazz,UTA,Utah,240:00,0.424,0.419,0.208,0.23,0.546,0.425,0.128,0.18
1,0021800786,1610612745,Rockets,HOU,Houston,240:00,0.546,0.425,0.128,0.16,0.424,0.419,0.208,0.311
0,0021800785,1610612758,Kings,SAC,Sacramento,240:00,0.516,0.261,0.15,0.231,0.478,0.269,0.135,0.296
1,0021800785,1610612755,76ers,PHI,Philadelphia,240:00,0.478,0.269,0.135,0.259,0.516,0.261,0.15,0.346
0,0021800787,1610612752,Knicks,NYK,New York,240:00,0.459,0.297,0.162,0.122,0.456,0.198,0.083,0.276
1,0021800787,1610612763,Grizzlies,MEM,Memphis,240:00,0.456,0.198,0.083,0.172,0.459,0.297,0.162,0.163
0,0021800788,1610612760,Thunder,OKC,Oklahoma City,240:00,0.565,0.37,0.103,0.212,0.665,0.187,0.13,0.205
1,0021800788,1610612738,Celtics,BOS,Boston,240:00,0.665,0.187,0.13,0.128,0.565,0.37,0.103,0.25
0,0021800789,1610612761,Raptors,TOR,Toronto,240:00,0.505,0.33,0.149,0.302,0.438,0.326,0.121,0.208
1,0021800789,1610612746,Clippers,LAC,LA,240:00,0.438,0.326,0.121,0.132,0.505,0.33,0.149,0.396
0,0021800790,1610612765,Pistons,DET,Detroit,240:00,0.636,0.227,0.198,0.381,0.495,0.239,0.132,0.273
1,0021800790,1610612743,Nuggets,DEN,Denver,240:00,0.495,0.239,0.132,0.182,0.636,0.227,0.198,0.381
0,0021800791,1610612764,Wizards,WAS,Washington,240:00,0.557,0.299,0.085,0.25,0.615,0.319,0.135,0.37
1,0021800791,1610612737,Hawks,ATL,Atlanta,240:00,0.615,0.319,0.135,0.304,0.557,0.299,0.085,0.308
0,0021800792,1610612749,Bucks,MIL,Milwaukee,240:00,0.475,0.248,0.102,0.242,0.348,0.275,0.117,0.314
1,0021800792,1610612751,Nets,BKN,Brooklyn,240:00,0.348,0.275,0.117,0.229,0.475,0.248,0.102,0.29
0,0021800793,1610612740,Pelicans,NOP,New Orleans,240:00,0.483,0.267,0.163,0.241,0.505,0.264,0.088,0.189
1,0021800793,1610612754,Pacers,IND,Indiana,240:00,0.505,0.264,0.088,0.151,0.483,0.267,0.163,0.259
0,0021800794,1610612756,Suns,PHX,Phoenix,240:00,0.577,0.214,0.17,0.209,0.569,0.287,0.14,0.319
1,0021800794,1610612745,Rockets,HOU,Houston,240:00,0.569,0.287,0.14,0.255,0.577,0.214,0.17,0.256
0,0021800795,1610612759,Spurs,SAS,San Antonio,240:00,0.474,0.214,0.089,0.263,0.628,0.256,0.08,0.256
1,0021800795,1610612758,Kings,SAC,Sacramento,240:00,0.628,0.256,0.08,0.186,0.474,0.214,0.089,0.298
0,0021800796,1610612746,Clippers,LAC,LA,240:00,0.586,0.195,0.113,0.174,0.5,0.28,0.051,0.268
1,0021800796,1610612766,Hornets,CHA,Charlotte,240:00,0.5,0.28,0.051,0.196,0.586,0.195,0.113,0.217
0,0021800797,1610612739,Cavaliers,CLE,Cleveland,240:00,0.464,0.083,0.142,0.263,0.543,0.171,0.14,0.214
1,0021800797,1610612738,Celtics,BOS,Boston,240:00,0.543,0.171,0.14,0.19,0.464,0.083,0.142,0.368
0,0021800798,1610612747,Lakers,LAL,Los Angeles,240:00,0.493,0.347,0.185,0.073,0.668,0.082,0.099,0.25
1,0021800798,1610612754,Pacers,IND,Indiana,240:00,0.668,0.082,0.099,0.227,0.493,0.347,0.185,0.171
0,0021800799,1610612752,Knicks,NYK,New York,240:00,0.45,0.167,0.116,0.236,0.544,0.304,0.116,0.2
1,0021800799,1610612765,Pistons,DET,Detroit,240:00,0.544,0.304,0.116,0.133,0.45,0.167,0.116,0.291
0,0021800800,1610612761,Raptors,TOR,Toronto,240:00,0.522,0.36,0.129,0.3,0.493,0.586,0.178,0.244
1,0021800800,1610612755,76ers,PHI,Philadelphia,240:00,0.493,0.586,0.178,0.122,0.522,0.36,0.129,0.38
