,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,PTS_FHALF,PTS_SHALF,REG_PTS
95,2018-10-22T00:00:00,9,0021800048,1610612747,LAL,Los Angeles,0-3,26,34,36,32,14,0,0,0,0,0,0,0,0,0,142,0.514,0.6920000000000001,0.359,33,52,15,60,82,128
96,2018-10-23T00:00:00,1,0021800049,1610612755,PHI,Philadelphia,2-2,28,36,30,26,12,0,0,0,0,0,0,0,0,0,132,0.5,0.7140000000000001,0.326,32,48,11,64,68,120
97,2018-10-23T00:00:00,1,0021800049,1610612765,DET,Detroit,3-0,27,34,26,33,13,0,0,0,0,0,0,0,0,0,133,0.47200000000000003,0.7040000000000001,0.364,22,46,8,61,72,120
98,2018-10-23T00:00:00,2,0021800050,1610612746,LAC,LA,2-2,26,36,22,25,0,0,0,0,0,0,0,0,0,0,109,0.47100000000000003,0.815,0.25,18,47,16,62,47,109
99,2018-10-23T00:00:00,2,0021800050,1610612740,NOP,New Orleans,3-0,27,32,32,25,0,0,0,0,0,0,0,0,0,0,116,0.43,0.75,0.25,22,48,8,59,57,116
100,2018-10-23T00:00:00,3,0021800051,1610612758,SAC,Sacramento,1-3,26,29,26,31,0,0,0,0,0,0,0,0,0,0,112,0.523,0.45,0.419,29,39,16,55,57,112
101,2018-10-23T00:00:00,3,0021800051,1610612743,DEN,Denver,4-0,33,35,37,21,0,0,0,0,0,0,0,0,0,0,126,0.515,0.867,0.3670000000000001,31,49,12,68,58,126
102,2018-10-24T00:00:00,1,0021800052,1610612742,DAL,Dallas,2-2,42,16,29,17,0,0,0,0,0,0,0,0,0,0,104,0.418,0.615,0.3,25,52,17,58,46,104
103,2018-10-24T00:00:00,1,0021800052,1610612737,ATL,Atlanta,2-2,22,26,32,31,0,0,0,0,0,0,0,0,0,0,111,0.40700000000000003,0.71,0.395,28,54,15,48,63,111
104,2018-10-24T00:00:00,2,0021800053,1610612751,BKN,Brooklyn,2-2,24,21,38,19,0,0,0,0,0,0,0,0,0,0,102,0.4370000000000001,0.8,0.41200000000000003,23,44,14,45,57,102
